"","Point.d.�.chantillonnage","date","X.OD","O2..mg.L.","Conductivit�...µs.cm2.","pH","Temp�.rature..oC.","Signe.COLI","COLI","M�.U.0089.T�.U.0089.O","Ag..µg.L.","Al..µg.L.","As..µg.L.","Ba..µg.L.","Be..µg.L.","Ca..µg.L.","Cd..µg.L.","Co..µg.L.","COT..µg.L.","Cr..µg.L.","Cu..µg.L.","Fe..µg.L.","K..µg.L.","Mg..µg.L.","Mn..µg.L.","Mo..µg.L.","Na..µg.L.","NH3..µg.L.","Ni..µg.L.","Ptot..µg.L.","Pb..µg.L.","MES...mg.L.","Sb..µg.L.","Se..µg.L.","Sn2.ug.L","U..µg.L.","V..µg.L.","Zn..µg.L."
"331","AAO-3.3P6","2013-06-17",98,10.11,1167,7.8,14,"=",12000,-1,0.1,42,0.3,50,0.1,110000,0.1,0.2,2.7,0.7,2.1,160,3700,28000,42,2.6,75000,20,1.9,35,0.2,2.1,0.5,0.5,NA,1.7,0.8,5.9
"332","AAO-3.3P6","2013-07-31",89,8.2,1047,7.8,19,"=",36000,-2,0.1,40.4,0.4,53.2,0.1,114000,0.1,0.2,3.2,0.8,2.67,171,4150,29700,71.6,2.7,81900,20,2,44,0.2,3,0.5,0.5,NA,1.6,0.7,3
"333","AAO-3.3P6","2013-08-28",84,7.69,1172,8,19.5,"=",1700,-2,0.1,38.5,0.2,52.2,0.1,108000,0.1,0.1,2.4,0.6,2.45,142,5430,27300,37.5,2.4,78000,31,1.6,41,0.2,2.4,0.5,0.5,NA,1.5,0.9,3
"334","AAO-3.3P6","2013-10-01",80,7.68,1690,8,17.2,"=",21000,1,0.1,82.4,0.5,55,0.1,108000,0.1,0.1,5,0.6,12.7,247,4330,26300,37.5,1,206000,65,3,51,0.2,4,0.5,0.5,NA,1.2,1.1,11.1
"335","AAO-3.5","2013-04-15",103,12.53,1716,7.8,6.4,"=",27,-2,0.1,190,0.3,65,0.1,110000,0.1,0.2,3.7,0.9,1.9,410,4200,39000,25,3.2,190000,43,2.4,18,0.2,3.5,0.5,0.5,NA,2,0.7,5.8
"336","AAO-3.5","2013-05-01",95,10.24,1776,7.6,11.5,"<",10,1,0.1,32,0.5,72,0.1,120000,0.1,0.3,3.7,0.5,1.2,660,4200,44000,47,4.4,180000,20,3,11,0.2,2.8,0.5,0.5,NA,2,0.4,3.2
"337","AAO-3.5","2013-06-03",82,8.47,1365,7.7,13.9,"=",310,-1,0.1,140,0.5,70,0.1,99000,0.1,0.3,3.8,1.2,2.3,500,3400,33000,43,3.6,100000,20,2.4,27,0.4,5.7,0.5,0.5,NA,1.7,0.8,6.8
"338","AAO-3.5","2013-06-17",95,10,1302,7.9,12.9,"=",1000,-1,0.1,72,0.3,69,0.1,99000,0.1,0.2,3.3,0.7,1.3,240,3000,30000,22,3.2,110000,20,2.1,19,0.2,2.7,0.5,0.5,NA,1.7,0.6,3.7
"339","AAO-3.5","2013-07-31",85,8.13,1413,7.6,17,"=",330,-2,0.1,89.2,0.6,78,0.1,114000,0.1,0.3,3.4,1.2,2.22,680,4060,39100,57.1,4.1,50000,20,2.7,24,0.5,7.2,0.5,0.5,NA,1.9,0.7,7.5
"340","AAO-3.5","2013-08-28",86,8.17,1174,7.9,17.4,"=",180,-2,0.1,1080,1,73.4,0.1,90100,0.1,1.1,3,3.2,3.82,1740,5620,29600,80.6,3.1,100000,20,3.6,71,1.9,83.2,0.5,0.5,NA,1.6,4.4,15
"341","AAO-3.5","2013-10-01",82,8.59,1520,7.8,12.9,"<",10,1,0.1,106,0.6,84,0.1,113000,0.1,0.3,2.3,1.8,0.5,451,4490,43100,41.5,4,139000,20,2.7,15,0.2,4.2,0.5,0.5,NA,1.9,0.6,3
"342","AAO-3.6","2013-04-15",125,15.21,1120,8.1,7,"<",10,-2,0.1,240,0.2,64,0.1,95000,0.1,0.2,3.6,0.9,1.6,260,2700,31000,11,2.5,94000,20,2.1,17,0.2,3.2,0.5,0.5,NA,1.6,0.7,5.7
"343","AAO-3.6","2013-05-01",125,12.29,1395,8.1,16.9,"<",10,1,0.1,87,0.3,72,0.1,110000,0.1,0.2,3.2,0.8,1,270,2800,37000,21,3.7,120000,20,2.2,12,0.2,3.8,0.5,0.5,NA,1.7,0.5,3
"344","AAO-3.6","2013-06-03",86,8.69,1183,7.7,15.1,"=",250,-1,0.1,160,0.4,71,0.1,91000,0.1,0.2,3.9,0.7,1.7,330,2500,28000,23,3.3,100000,20,2.3,29,0.2,6.2,0.5,0.5,NA,1.4,0.7,4.5
"345","AAO-3.6","2013-06-17",99,10.08,1126,7.9,14.1,"=",290,-1,0.1,110,0.3,68,0.1,90000,0.1,0.2,3,0.6,1.1,220,2200,27000,13,3,88000,20,1.9,21,0.2,3.7,0.5,0.5,NA,1.3,0.6,3.4
"346","AAO-3.6","2013-07-31",101,9.11,1104,8.2,20.2,"=",210,-2,0.1,71.6,0.2,76,0.1,101000,0.1,0.1,2.6,0.8,1.01,233,2480,31700,12.9,3.9,50000,20,2.1,27,0.2,3.2,0.5,0.5,NA,1.4,0.7,3
"347","AAO-3.6","2013-08-28",101,9.4,1131,8.3,18.8,"=",140,-2,0.1,67.4,0.2,66.6,0.1,92400,0.1,0.1,2.2,0.3,1.11,308,2470,29600,19.9,3.9,93600,20,1.8,27,0.2,2.8,0.5,0.5,NA,1.2,0.8,3
"348","AAO-3.6","2013-10-01",98,9.75,1224,8.1,15.7,"=",18,1,0.1,125,0.2,74.7,0.1,108000,0.1,0.2,2.3,0.7,0.5,381,2950,34500,15,4.3,113000,20,2.2,27,0.2,4.8,0.5,0.5,NA,1.4,0.8,3
"349","AAO-6.4","2013-04-15",NA,NA,997,8.2,7,"<",10,-2,0.1,300,0.2,45,0.1,88000,0.1,0.2,5,0.8,2.1,300,3200,29000,13,2.5,78000,40,2,29,0.3,4.6,0.5,0.5,NA,1.7,1,7.2
"350","AAO-6.4","2013-05-01",NA,NA,1403,8,16.5,"<",10,1,0.1,25,0.2,51,0.1,110000,0.1,0.1,3.3,0.5,1.1,81,3100,38000,12,4.6,120000,20,2.3,12,0.2,1.1,0.5,0.5,NA,2,0.3,4.8
"351","AAO-6.4","2013-06-03",92,8.95,1233,7.9,16.4,"=",340,-1,0.1,130,0.4,53,0.1,100000,0.1,0.2,4.1,1,2.1,300,2700,32000,18,4,110000,20,2.5,43,0.5,11,0.5,0.5,NA,1.9,0.8,10
"352","AAO-6.4","2013-06-17",107,10.63,1339,7.9,15.6,"=",360,-1,0.1,28,0.3,52,0.1,110000,0.1,0.1,3.5,0.6,1.2,78,2800,32000,7,4.2,110000,20,2.4,19,0.2,1.2,0.5,0.5,NA,1.9,0.6,4.6
"353","AAO-6.4","2013-07-31",90,7.81,1117,8,22.1,"=",140,-2,0.1,66.5,0.2,56.8,0.1,102000,0.1,0.1,2.9,0.7,1.15,120,2700,31500,13.1,4.6,50000,20,2.3,38,0.2,2.3,0.5,0.5,NA,1.7,0.8,3
"354","AAO-6.4","2013-08-28",86,7.75,1249,7.9,20.3,"=",130,-2,0.1,83.8,0.2,48.1,0.1,98900,0.1,0.2,2.1,0.3,0.5,149,2560,30800,17.4,4.4,100000,20,2.4,34,0.2,4.2,0.5,0.5,NA,1.6,0.7,3
"355","AAO-6.4","2013-10-01",97,9.64,1247,8.3,15.7,"=",72,1,0.1,43.7,0.2,48.3,0.1,101000,0.1,0.1,2.5,0.3,0.5,123,2660,33500,12.1,4.3,109000,20,2.6,18,0.2,2.1,0.5,0.5,NA,1.8,0.7,3
"356","ANG-2","2013-04-24",105,11.16,526,7.8,12.8,"<",10,1,0.1,17,0.6,42,0.1,79000,0.1,0.1,5.3,0.3,0.96,130,2500,17000,52,1,8700,27,0.6,38,0.4,3.2,0.5,0.5,NA,1.2,0.5,3
"357","ANG-2","2013-05-22",123,10.99,466,8.2,20.8,"<",10,-1,0.1,22,0.9,37,0.1,56000,0.1,0.1,7.3,0.5,0.98,76,1700,17000,25,1,8500,20,0.7,27,0.3,2,0.5,0.5,NA,0.9,0.8,3
"358","ANG-2","2013-07-10",94,7.53,354,8,27.1,"<",10,0,0.1,12.4,1.3,21.3,0.1,35500,0.1,0.1,5.9,0.3,0.5,97.2,1630,14900,20.8,1,7660,20,0.6,25,0.2,2.6,0.5,0.5,NA,0.5,0.9,3
"359","ANG-2","2013-08-19",113,9.28,113,8.1,25.4,"=",27,1,0.1,26.9,1.3,33.3,0.1,45300,0.1,0.1,6.3,0.3,0.5,52.7,2240,16200,34.3,1,8940,20,0.5,26,0.2,2.6,0.5,0.5,NA,0.4,1.6,3
"360","ANG-2","2013-09-23",NA,NA,406,8.3,16.4,"=",18,-1,0.1,33.8,1.1,35.4,0.1,47300,0.1,0.1,7.1,0.3,0.5,57.1,2350,16000,23.6,1,8810,20,0.5,25,0.2,3.3,0.5,0.5,NA,0.5,1.1,3
"361","ANG-2","2013-10-22",92,9.7,377,8.2,12,"=",18,0,0.1,86.5,1.1,35.2,0.1,48100,0.1,0.1,6,0.3,0.5,98.9,2570,16000,19.1,1,9070,20,0.6,24,0.6,2.6,0.5,0.5,NA,0.6,1.3,3
"362","BER-0.0","2013-04-09",90,11.5,42,8.2,4.7,"=",1000,0,0.1,670,0.6,42,0.1,51000,0.12,0.9,4,3.9,11,1400,2000,10000,49,1.8,83000,160,3.4,81,4.5,36,0.87,0.5,NA,0.5,2.6,49
"363","BER-0.0","2013-05-29",87,8.69,885,7.5,15.1,"=",36,1,0.1,39,0.3,45,0.1,75000,0.1,0.1,3.3,0.9,2.4,280,2300,15000,25,1.3,77000,20,1.3,23,0.3,2,0.5,0.5,NA,0.5,0.4,8.5
"364","BER-0.0","2013-07-02",52,5.12,1968,7.2,15.5,"=",72,1,0.1,12,0.3,93,0.1,160000,0.1,0.2,3.1,0.5,1.3,330,4400,32000,120,2.1,180000,39,1.7,24,0.2,1.9,0.5,0.5,NA,1.1,0.4,5.2
"365","BER-0.0","2013-08-07",54,4.91,1916,7.5,18.2,"=",72,1,0.1,14.8,0.2,98.3,0.1,172000,0.1,0.1,2.7,0.3,1.56,125,4240,35000,15.3,3,50000,20,2.1,9,0.2,1.2,0.5,0.5,NA,1,0.2,8
"366","BER-0.0","2013-09-10",72,7.2,1422,7.6,15.2,"=",1600,0,0.1,120,0.2,77.3,0.1,124000,0.1,0.2,9.1,1.8,6.24,329,4310,25700,40.7,3.2,137000,220,2.1,54,1.2,6.8,0.5,0.5,NA,0.7,0.9,12.1
"367","BER-0.0","2013-10-28",88,9.93,774,7.8,9.4,"=",1400,0,0.1,1280,0.7,52.7,0.1,72100,0.1,1,8.2,4,8,1500,3030,13800,65.5,2.8,63000,79,3.1,103,2.5,38.3,0.5,0.5,NA,0.4,2.8,31.2
"368","BER-0.7P1","2013-04-09",97,12.18,884,8.1,5.4,"=",310,0,0.1,200,0.3,35,0.1,90000,0.1,0.3,3.1,2.7,4.1,370,3000,19000,18,1.4,63000,83,2,31,0.9,9.8,0.5,0.5,NA,0.9,0.8,27
"369","BER-0.7P1","2013-05-07",101,11.01,2008,7.7,11.1,"=",16000,1,0.1,67,0.2,46,0.1,140000,0.1,0.2,4.9,0.8,8.4,130,5600,32000,21,1.2,230000,200,2.9,99,0.2,5.4,0.5,0.5,NA,1.4,0.3,9.5
"370","BER-0.7P1","2013-05-29",93,10,1441,7.7,11.6,"=",40000,0,0.1,19,0.3,46,0.1,150000,0.1,0.1,2.2,0.5,2.6,90,5300,34000,15,1.5,100000,22,2.4,39,0.2,0.8,0.5,0.5,NA,1.6,0.2,4.6
"371","BER-0.7P1","2013-07-02",98,10.03,1345,7.8,13.9,"=",7000,1,0.1,14,0.2,47,0.1,140000,0.1,0.1,2.2,0.5,2.7,76,5100,30000,11,1.4,83000,20,2.2,34,0.2,1.4,0.5,0.5,NA,1.5,0.2,5.3
"372","BER-0.7P1","2013-08-07",78,7.59,1288,8,16.2,"=",2300,1,0.1,20.2,0.2,47.8,0.1,137000,0.1,0.1,3.2,0.3,6.29,64.3,5170,29200,8.6,1,76600,25,3,44,0.4,1,0.5,0.5,NA,1.3,0.2,9.3
"373","BER-0.7P1","2013-09-10",75,7.31,515,8,16.6,"=",5600,0,0.1,439,0.5,35.1,0.1,61300,0.1,0.4,11.5,5.3,15.3,601,3350,12500,26.3,2.4,27700,230,2.4,114,1.5,19.2,0.5,0.5,NA,0.5,2.1,39.3
"374","BER-0.7P1","2013-10-28",76,8.38,465,7.7,11,"=",360,0,0.1,274,0.6,28.1,0.1,49900,0.1,0.3,6.6,1.7,4.61,393,2340,11100,18.3,2.2,25500,20,1.5,37,1,8.7,0.5,0.5,NA,0.4,1.2,20
"375","BER-1.2","2013-04-09",90,11.61,741,8.2,4.4,"=",500,0,0.1,610,0.7,49,0.1,55000,0.1,0.7,4,3.7,10,1200,2100,10000,53,1.6,76000,180,3.3,95,4,34,0.6,0.5,NA,0.4,2.4,50
"376","BER-1.2","2013-05-07",81,7.37,1885,7.4,13.2,"=",45,1,0.1,6.5,0.4,95,0.1,170000,0.1,0.4,3.5,0.8,1.5,680,3500,33000,160,1.7,170000,20,1.6,15,0.2,2.9,0.5,0.5,NA,0.8,0.2,6.6
"377","BER-1.2","2013-05-29",82,8.48,1873,7.4,13.1,"=",90,1,0.1,8.9,0.3,89,0.1,150000,0.1,0.3,3.2,0.6,1.5,750,3700,31000,120,2.9,190000,100,1.7,19,0.3,3,0.5,0.5,NA,0.8,0.2,7.9
"378","BER-1.2","2013-07-02",86,8.59,2239,7.4,14.1,"=",230,1,0.1,13,0.3,110,0.1,170000,0.1,0.2,2.7,0.4,1.1,620,4200,33000,100,1.5,210000,64,1.5,19,0.4,3.2,0.5,0.5,NA,0.8,0.3,7.7
"379","BER-1.2","2013-08-07",82,8.01,2105,7.6,16,"=",140,1,0.1,10.6,0.2,110,0.1,171000,0.1,0.1,2.2,0.3,1.32,398,4120,34500,81,4,50000,45,1.4,15,0.9,1.7,0.5,0.5,NA,0.7,0.2,6.9
"380","BER-1.2","2013-09-10",81,8.23,1816,7.6,14.5,"=",370,0,0.1,42.1,0.2,103,0.1,156000,0.1,0.1,3.1,0.8,3.57,467,4280,32600,71.7,1,186000,32,1.2,18,1.1,3.4,0.5,0.5,NA,0.6,0.2,8.4
"381","BER-1.2","2013-10-28",84,9.55,1493,7.6,8.5,"=",54,0,0.1,28.7,0.2,83.5,0.1,124000,0.1,0.1,3.4,0.3,2.14,521,3150,24800,82,1,130000,20,1.1,13,0.5,3,0.5,0.5,NA,0.5,0.4,11.3
"382","BER-3.3","2013-04-09",97,12.3,865,8.1,5.1,"=",2500,0,0.1,500,1.8,44,0.1,56000,0.11,0.6,4.3,4.7,10,1000,2300,12000,41,1.5,91000,170,2.9,100,3.5,31,0.5,0.5,NA,0.5,2,56
"383","BER-3.3","2013-05-07",91,9.92,2376,7.5,10.9,"=",370,1,0.1,18,0.2,96,0.1,150000,0.1,0.2,2.4,0.5,3.5,1200,4700,38000,100,1.5,270000,120,1.3,16,0.2,3.4,0.5,0.5,NA,0.6,0.3,4.9
"384","BER-3.3","2013-05-29",87,9.35,2279,7.5,11.7,"=",240,0,0.1,67,0.5,89,0.1,150000,0.1,0.3,3,1.1,5.2,1300,4900,36000,97,2.2,270000,100,1.6,39,0.6,9.8,0.5,0.5,NA,0.7,0.6,14
"385","BER-3.3","2013-07-02",91,9.17,2228,7.4,13.7,"=",99,1,0.1,13,0.2,97,0.1,150000,0.1,0.2,3,0.4,3.4,1000,4700,32000,89,2,240000,43,1.2,11,0.2,3.6,0.5,0.5,NA,0.7,0.5,5.9
"386","BER-3.3","2013-08-07",82,8.19,2130,7.8,15.3,"=",54,1,0.1,16.7,0.2,104,0.1,151000,0.1,0.1,2.1,0.3,4.24,1180,4770,34900,108,9.6,50000,82,1.2,23,0.2,3.8,0.5,0.5,NA,0.5,0.2,3
"387","BER-3.3","2013-09-10",75,7.37,1123,7.5,16.2,"=",1000,0,0.1,230,0.5,73.1,0.1,86600,0.1,0.3,13.6,3.3,14.1,1080,3490,19300,76.7,3.6,100000,79,1.8,69,1,11.4,0.5,0.5,NA,0.3,1.7,26.5
"388","BER-3.3","2013-10-28",93,10.03,737,7.6,11.4,"=",2300,0,0.1,469,0.5,51.8,0.1,56500,0.1,0.4,4.8,2.9,9.57,1010,2420,11500,49.2,2.3,71400,96,1.8,55,2,17.2,1.07,0.5,NA,0.3,1.8,38.1
"389","BER-4.6","2013-04-09",86,11.01,658,8.2,4.6,"=",270,0,0.1,750,0.7,47,0.1,56000,0.1,1.1,5,3,8.8,1400,2800,11000,63,2,58000,130,3.6,160,4.3,54,0.5,0.5,NA,0.6,2.5,53
"390","BER-4.6","2013-05-07",110,11.36,529,8.1,13.5,"=",1300,1,0.1,50,0.3,26,0.1,45000,0.1,0.2,3.4,0.6,2,140,2100,11000,19,1.2,37000,75,1.3,140,0.4,2.5,0.5,0.5,NA,0.5,0.5,8.4
"391","BER-4.6","2013-05-29",49,4.87,543,7.7,15.4,"=",99,0,0.1,65,0.7,39,0.1,50000,0.1,0.3,8.3,0.6,2.1,640,2200,9500,85,1.5,44000,87,1.9,75,0.4,5,0.5,0.5,NA,0.5,0.7,16
"392","BER-4.6","2013-07-02",56,5.28,655,7.5,18.2,"=",1100,1,0.1,52,0.5,42,0.1,64000,0.1,0.2,8.5,0.6,1.8,520,3000,14000,56,1.8,41000,20,1.9,140,0.4,4.9,0.5,0.5,NA,0.6,0.7,39
"393","BER-4.6","2013-08-07",43,3.64,386,7.9,20.1,"=",270,1,0.1,59.1,0.6,46,0.1,45100,0.1,0.3,7.9,0.7,1.14,858,1910,5740,94.7,1,21800,140,1.6,76,0.2,6,0.5,0.5,NA,0.1,0.4,14.9
"394","BER-4.6","2013-09-10",73,6.7,497,7.8,18.7,"=",4300,0,0.1,1380,1,52,0.1,52400,0.1,1.8,24.8,4,15.5,2190,3590,13100,65.8,6.4,37600,240,7.5,2290,2.6,65.5,0.5,0.5,NA,0.4,5.5,89.2
"395","BER-4.6","2013-10-28",82,8.96,344,7.9,11.3,"=",2400,0,0.1,696,0.5,34.6,0.1,40000,0.1,0.5,4.2,1.8,6.33,845,2180,8660,25.9,2.6,15000,46,2.2,196,2.2,26.2,0.5,0.5,NA,0.3,2.3,82.4
"396","BOU-0.0","2013-03-12",78,11.01,997,8,1.2,"=",520,0,0.1,730,0.6,37,0.1,40000,0.14,1,15.7,2.8,9.5,1400,3700,7400,82,1.4,140000,590,3.5,130,3.3,40,0.5,0.5,NA,0.5,2.3,65
"397","BOU-0.0","2013-04-24",85,9.81,1204,7.9,8.6,"<",10,1,0.1,110,0.3,47,0.1,82000,0.1,0.5,7.8,0.7,1.7,530,4400,20000,78,2.3,130000,95,2,28,0.5,4.6,0.5,0.5,NA,1.1,0.8,8.5
"398","BOU-0.0","2013-05-22",68,6.83,689,7.9,15,"=",380,-1,0.1,250,0.5,37,0.1,46000,0.1,0.5,8,1.5,4.4,670,3500,10000,47,1.8,71000,54,2.3,68,1.3,11,0.5,0.5,NA,0.5,1.5,17
"399","BOU-0.0","2013-07-10",81,7.02,1015,7.8,22.4,"=",600,0,0.1,124,0.7,55.7,0.1,71900,0.1,0.2,5,0.9,1.97,462,4890,19100,23.4,3,90200,220,2,43,0.7,6.5,0.5,0.5,NA,0.9,1.1,6.8
"400","BOU-0.0","2013-08-19",103,8.89,487,8.1,22.5,"=",150,1,0.1,273,0.7,34.5,0.1,39300,0.1,0.2,5.4,1.3,2.67,504,2470,10000,25.4,1,38100,20,1.5,50,1.4,13,0.5,0.5,NA,0.4,1.2,9.4
"401","BOU-0.0","2013-09-23",NA,NA,939,8.2,13.4,"=",1000,-1,0.1,316,0.4,59.3,0.1,91600,0.1,0.3,5.6,1.1,2.87,581,6590,20200,29.4,3.2,78700,20,2.2,38,1.2,10.2,0.5,0.5,NA,1.5,1.3,12
"402","BOU-0.0","2013-10-22",80,8.58,771,8.2,12.3,"=",220,0,0.1,342,0.5,58.4,0.1,76800,0.1,0.4,5.4,1.3,3.74,637,5410,18000,38.3,2.5,72200,37,2.3,55,1.7,10.8,0.5,0.5,NA,1.1,1.6,19.6
"403","BOU-1.0","2013-03-12",83,11.62,1003,8.2,1.3,"=",550,0,0.1,700,0.5,35,0.1,40000,0.14,1,15.8,2.5,8.3,1400,3800,7400,81,1.5,140000,590,3.1,130,2.9,35,0.5,0.5,NA,0.5,2.2,63
"404","BOU-1.0","2013-04-24",82,9.26,1228,7.9,9.8,"<",10,1,0.1,230,0.4,51,0.1,86000,0.1,0.6,9.5,1.2,2.7,790,4700,21000,87,2.4,140000,130,2.4,37,1,12,0.5,0.5,NA,1.2,1.1,13
"405","BOU-1.0","2013-05-22",71,7.16,948,7.8,14.9,"=",330,-1,0.1,260,0.5,42,0.1,56000,0.1,0.5,7.3,1.4,3.8,770,4300,13000,54,2,110000,92,2.3,48,1.3,14,0.5,0.5,NA,0.6,1.5,16
"406","BOU-1.0","2013-07-10",82,7.39,692,7.7,22.3,"=",640,0,0.1,102,0.6,39.6,0.1,53000,0.1,0.1,3.9,0.8,1.57,430,3350,13400,24.2,1,55800,120,1.4,34,0.6,6.2,0.5,0.5,NA,0.5,1.1,7.1
"407","BOU-1.0","2013-08-19",79,7.05,1137,7.7,20.6,"=",1000,1,0.1,331,0.7,66.2,0.1,80700,0.1,0.3,4.4,1.2,2.74,708,5500,22800,58.3,2.4,50000,160,2.3,47,1.2,11.6,0.5,0.5,NA,0.7,1.2,8.2
"408","BOU-1.0","2013-09-23",NA,NA,981,8.1,13.2,"=",1300,-1,0.1,401,0.5,59.9,0.1,89700,0.1,0.4,5.5,1.2,2.94,718,6480,20200,43.5,3.2,79800,20,2.3,41,1.2,15.1,0.5,0.5,NA,1.4,1.4,13
"409","BOU-1.0","2013-10-22",72,7.72,960,8.1,12.1,"=",500,0,0.1,376,0.5,61.8,0.1,91300,0.1,0.4,4.5,0.9,3.15,785,5770,24100,66.3,2.7,92900,38,2.5,41,1.5,13.8,0.5,0.5,NA,1.3,1.7,16.9
"410","BOU-1.5P2","2013-03-12",94,12.47,1250,7.9,2.9,"=",63,0,0.1,1000,0.6,45,0.1,60000,0.11,0.9,4.3,3.2,9.7,1500,3600,16000,52,1.8,160000,220,5.1,150,4.7,41,0.5,0.5,NA,0.6,2.7,49
"411","BOU-1.5P2","2013-04-24",101,11.81,705,8,8.6,"<",10,1,0.1,220,0.3,29,0.1,54000,0.1,0.3,2.8,1.5,3.7,610,2200,16000,23,1,64000,20,1.2,37,2.1,15,0.5,0.5,NA,0.2,1.2,13
"412","BOU-1.5P2","2013-05-22",103,10.56,568,8,14,"=",72,-1,0.1,90,0.3,23,0.1,39000,0.1,0.1,3.5,0.8,1.9,240,1600,11000,15,1,44000,20,0.8,30,0.4,3.3,0.5,0.5,NA,0.1,0.9,5.3
"413","BOU-1.5P2","2013-07-10",95,8.44,1030,7.9,20.7,"=",1200,-2,0.1,37.4,0.4,40.9,0.1,72800,0.1,0.1,2.2,0.7,1.7,183,2910,22100,21.4,1,85500,66,0.9,24,0.5,2.2,0.5,0.5,NA,0.2,0.6,3
"414","BOU-1.5P2","2013-08-19",111,10.34,1619,7.7,18.6,"=",910,1,0.1,86.2,0.2,54.2,0.1,117000,0.1,0.1,2.2,0.7,1.78,278,4620,40100,18.2,1,50000,20,1.4,29,0.4,3.2,0.5,0.5,NA,0.4,0.6,3
"415","BOU-1.5P2","2013-09-23",NA,NA,1620,8.1,12.6,"=",640,-1,0.1,83.1,0.2,54.8,0.1,112000,0.1,0.1,2.6,0.3,1.71,353,4720,37200,22.1,2.1,152000,20,1.5,26,0.7,4.2,0.5,0.5,NA,0.6,0.6,6.9
"416","BOU-1.5P2","2013-10-22",85,8.74,2010,8,11.7,"=",4800,0,0.1,101,0.2,75.9,0.1,155000,0.1,0.2,2.8,0.3,1.79,418,6460,56600,55,3.1,222000,65,2.3,33,0.8,3.2,0.5,0.5,NA,1,0.8,8.4
"417","BOU-2.1","2013-03-12",82,11.47,1032,7.9,1,"=",140,0,0.1,800,0.6,36,0.1,38000,0.15,1,16.5,2.6,8.5,1500,3900,6500,85,1.5,160000,670,3.3,130,3.3,39,0.5,0.5,NA,0.5,2.4,70
"418","BOU-2.1","2013-04-24",89,10.48,1333,7.8,7.3,"<",10,1,0.1,150,0.4,57,0.1,93000,0.1,0.6,12.3,0.9,2.2,740,5300,22000,100,3,160000,270,2.6,29,0.6,8.4,0.5,0.5,NA,1.5,0.9,11
"419","BOU-2.1","2013-05-22",64,6.53,1080,7.8,13.9,"=",440,-1,0.1,290,0.5,46,0.1,60000,0.1,0.6,9.6,1.6,4.3,910,5100,14000,65,2.5,130000,280,2.8,53,1.4,18,0.5,0.5,NA,0.8,1.5,19
"420","BOU-2.1","2013-07-10",NA,NA,1018,7.5,21.7,"=",190,-2,0.1,170,0.7,63,0.1,75600,0.1,0.3,5.5,0.9,2.4,707,5480,18500,60.7,3.3,91600,210,2.7,47,0.8,9.2,0.5,0.5,NA,1.2,1.2,8.7
"421","BOU-2.1","2013-08-19",44,4.04,1085,7.6,19.6,"=",540,1,0.1,715,0.9,76.8,0.1,78100,0.1,0.7,6.4,2,4.8,1490,6010,19400,129,2.7,50000,290,2.9,82,2.4,31.2,0.5,0.5,NA,0.9,2.1,16.9
"422","BOU-2.1","2013-09-23",NA,NA,891,8,13.3,"=",250,-1,0.1,494,0.5,59.6,0.1,85100,0.1,0.6,6.3,1.5,3.89,943,6490,18100,59.2,3.1,67200,20,2.6,50,1.6,23.5,0.5,0.5,NA,1.5,1.7,17.6
"423","BOU-2.1","2013-10-22",65,6.86,759,8,13,"=",210,0,0.1,592,0.6,60.4,0.1,81300,0.1,0.6,4.1,1.6,4.29,1020,5840,18000,69.8,2.9,70000,82,2.7,63,1.8,22.2,0.5,0.5,NA,1.3,2.1,18.5
"424","BOU-2.9","2013-03-12",78,11.11,1124,8.2,0.7,"=",18,0,0.3,700,0.5,41,0.1,37000,0.11,1,17.2,2.4,9.5,1300,3800,5800,81,1.4,170000,740,4.3,120,2.8,36,0.5,0.5,NA,0.5,2.3,67
"425","BOU-2.9","2013-04-24",72,8.62,2088,7.7,7.1,"<",10,1,0.1,160,0.6,93,0.1,140000,0.1,0.7,38.1,1,2.3,1300,8900,34000,160,3.9,270000,550,3.2,41,0.5,11,0.5,0.5,NA,2.8,1,10
"426","BOU-2.9","2013-05-22",57,5.74,1574,7.8,14.1,"=",110,-1,0.1,150,0.5,58,0.1,76000,0.1,0.5,18.2,1.3,3.6,830,6800,18000,84,2.9,190000,550,3,46,0.9,9.8,0.5,0.5,NA,1.1,1.1,14
"427","BOU-2.9","2013-07-10",58,5.14,1208,7.6,21.1,"=",420,-2,0.1,170,0.7,77.4,0.1,89600,0.1,0.4,7.3,1,2.94,794,7260,22200,73.5,5.1,50000,150,3,49,0.9,9.8,0.5,0.5,NA,1.6,1.2,12.3
"428","BOU-2.9","2013-08-19",59,5.42,1372,7.8,19.1,"=",250,1,0.1,121,0.6,83.6,0.1,97700,0.1,0.3,14.4,0.7,2.21,790,8970,24900,115,3.8,50000,31,2.4,37,0.5,6,0.5,0.5,NA,1.3,0.8,7.8
"429","BOU-2.9","2013-09-23",56,5.88,1003,8,12.8,"=",230,-1,0.1,219,0.4,67.1,0.1,97600,0.1,0.4,8.3,0.8,2.35,559,8030,19400,52.6,4,82900,24,2.4,28,0.5,8.6,0.5,0.5,NA,2.2,1.1,11
"430","BOU-2.9","2013-10-22",69,7.33,969,8.1,12.1,"=",90,0,0.1,297,0.5,78,0.1,109000,0.1,0.5,6.7,0.3,2.44,763,8180,23100,96.2,4,87800,110,2.9,30,0.6,11.4,0.5,0.5,NA,2.4,1.4,12.4
